strategy,total_return,annualized_return,sharpe,max_drawdown
Equal Weight,0.75572,0.26020000000000004,1.302,-0.18594
MVO,0.50212,0.17972,0.842,-0.22968000000000002
PPO,0.8911000000000001,0.29716,1.252,-0.1986
Random Allocation,0.7547,0.25938,1.216,-0.18806
